VARIABLES = "x (m)" "y (m)" phi
ZONE I=51 J=21 
0.300000 0.300000 3.72899
0.310000 0.300000 3.63284
0.320000 0.300000 3.52886
0.330000 0.300000 3.41844
0.340000 0.300000 3.30350
0.350000 0.300000 3.18631
0.360000 0.300000 3.06924
0.370000 0.300000 2.95452
0.380000 0.300000 2.84410
0.390000 0.300000 2.73957
0.400000 0.300000 2.64219
0.410000 0.300000 2.55293
0.420000 0.300000 2.47249
0.430000 0.300000 2.40140
0.440000 0.300000 2.34002
0.450000 0.300000 2.28860
0.460000 0.300000 2.24733
0.470000 0.300000 2.21630
0.480000 0.300000 2.19558
0.490000 0.300000 2.18522
0.500000 0.300000 2.18522
0.00000 0.320000 5.76451
0.0100000 0.320000 5.57368
0.0200000 0.320000 5.39939
0.0300000 0.320000 5.24159
0.0400000 0.320000 5.10019
0.0500000 0.320000 4.97510
0.0600000 0.320000 4.86620
0.0700000 0.320000 4.77335
0.0800000 0.320000 4.69634
0.0900000 0.320000 4.63486
0.100000 0.320000 4.58851
0.110000 0.320000 4.55668
0.120000 0.320000 4.53850
0.130000 0.320000 4.53275
0.140000 0.320000 4.53770
0.150000 0.320000 4.55106
0.160000 0.320000 4.56986
0.170000 0.320000 4.59064
0.180000 0.320000 4.60982
0.190000 0.320000 4.62446
0.200000 0.320000 4.63249
0.210000 0.320000 4.63257
0.220000 0.320000 4.62386
0.230000 0.320000 4.60583
0.240000 0.320000 4.57801
0.250000 0.320000 4.53993
0.260000 0.320000 4.49103
0.270000 0.320000 4.43064
0.280000 0.320000 4.35802
0.290000 0.320000 4.27246
0.300000 0.320000 4.17341
0.310000 0.320000 4.06079
0.320000 0.320000 3.93530
0.330000 0.320000 3.79876
0.340000 0.320000 3.65437
0.350000 0.320000 3.50632
0.360000 0.320000 3.35883
0.370000 0.320000 3.21543
0.380000 0.320000 3.07886
0.390000 0.320000 2.95107
0.400000 0.320000 2.83339
0.410000 0.320000 2.72668
0.420000 0.320000 2.63144
0.430000 0.320000 2.54798
0.440000 0.320000 2.47644
0.450000 0.320000 2.41687
0.460000 0.320000 2.36927
0.470000 0.320000 2.33361
0.480000 0.320000 2.30988
0.490000 0.320000 2.29802
0.500000 0.320000 2.29802
0.00000 0.340000 5.85157
0.0100000 0.340000 5.66071
0.0200000 0.340000 5.48764
0.0300000 0.340000 5.33232
0.0400000 0.340000 5.19473
0.0500000 0.340000 5.07491
0.0600000 0.340000 4.97289
0.0700000 0.340000 4.88874
0.0800000 0.340000 4.82252
0.0900000 0.340000 4.77431
0.100000 0.340000 4.74411
0.110000 0.340000 4.73181
0.120000 0.340000 4.73708
0.130000 0.340000 4.75918
0.140000 0.340000 4.79663
0.150000 0.340000 4.84685
0.160000 0.340000 4.90553
0.170000 0.340000 4.96626
0.180000 0.340000 5.02117
0.190000 0.340000 5.06547
0.200000 0.340000 5.09713
0.210000 0.340000 5.11574
0.220000 0.340000 5.12158
0.230000 0.340000 5.11505
0.240000 0.340000 5.09637
0.250000 0.340000 5.06541
0.260000 0.340000 5.02159
